name,honorific,title,category,profile_url
Haoyuan Li,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/haoyuan-li
Harindu Ashan,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/harindu-ashan-kankanange
Harvey Zhang,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/harvey-zhang
Heethanjan Kanagalingam,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/heethanjan-kanagalingam
Hesam Asadollahzadeh,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/hesam-asadollahzadeh
Hong Yi Lin,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/hong-yi-lin
Hugo Lyons Keenan,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/hugo-lyons-keenan
Hyunsuk (David) Chung,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/hyunsuk-david-chung
Isura Manchanayaka,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/isura-manchanayaka
Jemima Kang,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/jemima-kang
Jiacheng Zhang,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/jiacheng-zhang
Jiaheng Dong,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/jiaheng-dong
Jiajia Song,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/jiajia-song
Jiani Xie,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/jiani-xie
Jie Huang,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/jie-huang
Jie Yang,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/jie-yang
Jinhao Li,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/jinhao-li
Jinrui Yang,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/jinrui-yang
Jinxi Wang,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/jinxi-wang
Johnson Zhou,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/johnson-zhou
Kasra Kamali,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/kasra-kamali
Kejian Cui,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/kejian-cui
Kevin McDonald,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/kevin-mcdonald
Khawar Islam,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/khawar-islam
Laura Simoes Camargo,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/laura-camargo
Liu Liu Chen,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/liu-liu-chen
Lyndon Benke,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/lydon-benke
Maria Bulychev,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/maria-bulychev
Marzieh Parvaneh Akhteh Khaneh,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/marzieh-parvaneh-akhteh-khaneh
Mashnoon Islam,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/mashnoon-islam
Matteo Guida,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/matteo-guida
Mehreen Mubashar,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/mehreen-mubashar
Meng Cai,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/meng-cai
Ming-Bin Chen,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/ming-bin-chen
Mitra Heidari,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/mitra-heidari
Mohammad Reza Ghasemi Madani,,,Artificial intelligence,N/A
Mohammed Ishaq Mohammed Shoeb Ansari,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/mohammed-ishaq-mohammed-shoeb-ansari
Mojgan Kouhounestani,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/mojgan-kouhounestani
Muqing Guo,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/muqing-guo
Muxing Li,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/muxing-li
Nadeeshan Dissanayake,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/nadeeshan-dissanayake
Navid Akhavan Attar,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/navid-akhavan-attar
Nicholas Liang,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/nicholas-liang
Nimeshika Udayangani,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/nimeshika-udayangani
Oshada Jayasinghe,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/oshada-jayasinghe
Pagnarasmey Pit,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/pagnarasmey-pit
Pagnarith Pit,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/pagnarith-pit
Paul Ou,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/paul-ou
Priyanka Pillai,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/priyanka-pillai
Ran Liang,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/ran-liang
Raphael Merx,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/raphael-merx
Rinu Ann Sebastian,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/rinu-ann-sebastian
Roben Delos Reyes,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/roben-delos-reyes
Robert Langtry,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/robert-langtry
Rui Xing,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/rui-xing
Ruijang Dong,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/ruijang-dong
Sameera Vithanage,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/sameera-vithanage
Sandra Arcos Holzinger,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/sandra-arcos-holzinger
Saumya Hansanie Karunadhika,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/saumya-hansanie-karunadhika
Sayantan Dasgupta,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/sayantan-dasgupta
Shaona Cheng,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/shaona-cheng
Shengxiang Gao,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/shengxiang-gao
Shuhe Wang,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/shuhe-wang
Shuo Yang,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/shuo-yang
Sing Chee Tan,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/sing-chee-tan
Siyi Wang,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/siyi-wang
Songlin Du,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/songlin-du
Soyoun Won,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/soyoun-won
Susan Sheldrick,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/susan-sheldrick
Tao Shi,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/tao-shi
Thi Xuan May Le,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/thi-xuan-may-le
Thye Shan Ng,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/thye-shan-ng
Tianyi Zhang,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/tianyi-zhang
Tien Dung Pham,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/tien-dung-pham
Tingxuan Wang,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/tingxuan-wang
Tom Harris,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/tom-harris
Tuan Duong (Tony) Trinh,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/tuan-duong-tony-trinh
Viktoria Schram,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/viktoria-schram
Vincent Barbosa Vaz,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/vincent-barbosa-vaz
Wachiraphan Charoenwet,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/wachiraphan-charoenwet
Xueqi Ma,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/xueqi-ma
Yanbei Jiang,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/yanbei-jiang
Yang Xiao,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/yang-xiao
Yige Song,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/yige-song
Yilin Geng,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/yilin-geng
Yiyi Guo,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/yiyi-guo
Yuchen Luo,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/yuchen-luo
Yuhao Li,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/yuhao-li
Yuhao Tong,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/yuhao-yong
Yuxiang Wang,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/yuxiang-wang
Zaher Joukhadar,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/zaher-joukhadar
Zewei Shi,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/zewei-shi
Zheng Wei Lim,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/zheng-wei-lim
Zhenkai Zhang,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/zhenkai-zhang
Zhiaho Pei,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/zhihao-pei
Zhijian Zhou,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/zhijian-zhou
Zihan Xu,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/zihan-xu
Zuqing Li,,,Artificial intelligence,https://cis.unimelb.edu.au/people/graduate-researchers/artificial-intelligence/zuqing-li
Abhishek Sawaika,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/abhishek-sawaika
Anh Ho,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/anh-ho
Chanuka Avishka Sandeepa Hewa Kaluannakkage,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/chanuka-avishka-sandeepa-hewa-kaluannakkage
Cong-Thanh Le,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/cong-thanh-le
Daghash Alqahtani,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/daghash-alqahtani
Duneesha Tharangie Fernando,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/duneesha-tharangie-fernando
Elisa Shiohi,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/elisa-shiohi
Fatemeholsadat Hossini Saidi,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/fatemeholsadat-hossini-saidi
Faxing Wang,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/faxing-wang
Fengnian Lin,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/fengnian-lin
Gerald Huang,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/gerald-huang
Haoyu Bai,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/haoyu-bai
Haoyu Gao,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/haoyu-gao
Hongwei Yin,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/hongwei-yin
Hossein Hosseini,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/hossein-hosseini
Huy Nguyen,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/huy-nguyen
Jie Zhao,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/jie-zhao
Kanin Kearpimy,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/kanin-kearpimy
Kanwal Aslam Syed,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/kanwal-aslam-syed
Kasun Amarasinghe,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/kasun-amarasinghe
Kwangsuk Song,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/kwangsuk-song
Lankadinee Rathuwadu,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/lankadinee-rathuwadu
Larissa Salerno,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/larissa-salerno
Licheng Zhang,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/licheng-zhang
Limalka Sadith Weerakkody Mudiyanselage,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/limalka-sadith-weerakkody-mudiyanselage
Luca Morandini,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/luca-morandini
Luxin Fang,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/luxin-fang
Manh Dung Nguyen,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/manh-dung-nguyen
Mansour Safar Poor,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/mansour-safar-poor
Marjan Azimi,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/marjan-azimi
Mike Zhuang,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/mike-zhuang
Ming Chen,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/ming-chen
Minh Hieu Huynh,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/minh-hieu-huynh
Murtaza Rangwala,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/murtaza-rangwala
Neil Vyas,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/neil-vyas
Peerachai Banyongrakkul,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/peerachai-banyongrakkul
Philip Cervenjak,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/philip-cervenjak
Pilar Selene Linares Arevalo,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/pilar-selene-linares-arevalo
Prabhjot Singh,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/prabhjot-singh
Qifan Deng,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/qifan-deng
Reyhaneh Goli,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/reyhaneh-goli
Saeed Nasehibasharzad,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/saeed-nasehi-basharzad
Sahan Hemachandra,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/sahan-hemachandra
Samuel Thomas,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/samuel-thomas
Shen Zhan,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/shen-zhan
Shuzhi Gong,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/shuzhi-gong
Siddharth Agarwal,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/siddharth-agarwal
Stephen Luan,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/stephen-luan
Thanh-Hoa Nguyen,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/thanh-hoa-nguyen
Tian Qiu,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/tian-qiu
Tianyu Qi,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/tianyu-qi
Unaiza Alvi,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/unaiza-alvi
Viet Hoang Luu,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/viet-hoang-luu
Vinay Kabadi,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/vinay-kabadi
Vincent Jackson,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/vincent-jackson
Weijia Jia,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/weijia-jia
Wenqi Yan,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/wenqi-yan
Wentao Gao,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/wentao-gao
Xiangyu Hui,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/xiangyu-hui
Xiao Sun,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/xiao-sun
Xing Li,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/xing-li
Xu Bai,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/xu-bai
Yifan Sun,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/yifan-sun
Yifan Xie,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/yifan-xie
Yujin Huang,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/yujin-huang
Zhe Wang,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/zhe-wang
Zhenzhi Lai,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/zhenzhi-lai
Zhexiang Zhang,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/zhexiang-zhang
Zhibo Xu,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/zhibo-xu
Zhiyu Wang,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/zhiyu-wang
Zhonghong Lai,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/zhonghong-lai
Zhuo Chen,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/zhuo-chen
Zhuo Zhang,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/zhuo-zhang
Zhuowen Chen,,,Computer science,https://cis.unimelb.edu.au/people/graduate-researchers/computer-science/zhuowen-chen
Adam Davies,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/adam-davies
Antony Linden,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/antony-linden
Auzi Asfarian,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/auzi-asfarian
Ava Karusoo-Musumeci,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/ava-karusoo-musumeci
Cherie Mei Yee Sew,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/cherie-mei-yee-sew
Chris Nelson,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/chris-nelson
Chuanzhang Chen,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/chuanzhang-chen
Eleanor Seale,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/eleanor-seale
Emma Baillie,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/emma-baillie
Geoffrey Hill,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/geoffrey-hill
Huiwen Zhang,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/huiwen-zhang
Jarod Govers,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/jarod-govers
Jess Rowlings,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/jess-rowlings
Jian Zhang,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/jian-zhang
Joe Brailsford,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/joe-brailsford
Josephine Delore,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/josephine-delore
Khanh Nghiem,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/khanh-nghiem
Le Fang,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/le-fang
Lina Brockmeier,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/lina-brockmeier
Lingxiao Li,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/lingxiao-li
Matthew Sidji,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/matthew-sidji
Mayura Manawadu,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/mayura-manawadu-manawaduge
Mingjun Yang,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/mingjun-yang
Muhammad Bilal,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/muhammad-bilal
Nasalifya Namwinga,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/nasalifya-namwinga
Piumi Perera,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/piumi-perera
Ruby Edwards,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/ruby-edwards
Samangi Wadinambi Arachchi,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/samangi-wadinambi-arachchi
Sara Khorasani,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/sara-khorasani
Sarah Victoria Schoembs,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/sarah-victoria-schoembs
Saumya Pareek,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/saumya-pareek
Sayed Ramtin Tabatabaei Moghaddam,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/sayed-ramtin-tabatabaei-moghaddam
Sehyuk Park,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/sehyuk-park
SeungWon Jeong,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/seungwon-jeong
Shiquan Zhang,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/shiquan-zhang
Songyan Teng,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/songyan-teng
Stella Yuan,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/stella-yuan
Suwani Gunasekara,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/suwani-gunasekara
Tharaka Ratnayake,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/tharaka-ratnayake
Thomas Byers,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/thomas-byers
Toni McLennan,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/toni-mclennan
Wendy Cavenett,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/wendy-cavenett
Xanthe Lowe-Brown,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/xanthe-lowebrown
Yan Zhang,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/yan-zhang
Ying Ma,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/ying-ma
Yushan Xing,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/yushan-xing
Zeinab Moghaddasi,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/zeinab-moghaddasi
Zhaohengy Shi,,,Human-Computer Interaction,https://cis.unimelb.edu.au/people/graduate-researchers/human-computer-interaction/zhaoheng-shi
ABM Nayeem,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/abm-nayeem
Adam Caldwell,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/adam-caldwell
Aidan McLoughney,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/aidan-mcloughney
Anandi Sethunga,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/anandi-sethunga
Andrei Tour,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/andrei-tour
Ashley Anderson,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/ashley-anderson
